site_id,measured_at,outdoor_temp,supply_temp,humidity,hour,is_weekend,demand_level
SITE-001,2026-01-01 00:00:00,-7.17,75.49,73.79,0,False,HIGH
SITE-002,2026-01-01 00:00:00,-7.15,74.94,68.46,0,False,HIGH
SITE-003,2026-01-01 00:00:00,-7.26,73.98,75.08,0,False,HIGH
SITE-001,2026-01-01 01:00:00,-6.01,73.5,73.06,1,False,HIGH
SITE-002,2026-01-01 01:00:00,-6.5,73.91,78.65,1,False,HIGH
SITE-003,2026-01-01 01:00:00,-6.16,72.18,67.04,1,False,HIGH
SITE-001,2026-01-01 02:00:00,-5.19,74.43,70.33,2,False,HIGH
SITE-002,2026-01-01 02:00:00,-5.29,73.62,67.02,2,False,HIGH
SITE-003,2026-01-01 02:00:00,-9.38,74.17,75.58,2,False,HIGH
SITE-001,2026-01-01 03:00:00,-4.55,74.56,65.4,3,False,HIGH
SITE-002,2026-01-01 03:00:00,-5.45,73.07,70.54,3,False,HIGH
SITE-003,2026-01-01 03:00:00,-4.58,72.2,71.72,3,False,HIGH
SITE-001,2026-01-01 04:00:00,-4.94,72.94,68.04,4,False,HIGH
SITE-002,2026-01-01 04:00:00,-4.49,70.81,79.53,4,False,MEDIUM
SITE-003,2026-01-01 04:00:00,-3.27,70.8,73.92,4,False,MEDIUM
SITE-001,2026-01-01 05:00:00,-1.14,68.09,64.44,5,False,MEDIUM
SITE-002,2026-01-01 05:00:00,-1.71,69.58,59.95,5,False,MEDIUM
SITE-003,2026-01-01 05:00:00,-3.23,70.88,71.06,5,False,HIGH
SITE-001,2026-01-01 06:00:00,-0.67,68.96,61.63,6,False,HIGH
SITE-002,2026-01-01 06:00:00,-0.27,68.14,61.16,6,False,MEDIUM
SITE-003,2026-01-01 06:00:00,-2.28,66.39,65.47,6,False,MEDIUM
SITE-001,2026-01-01 07:00:00,-0.65,71.58,65.71,7,False,HIGH
SITE-002,2026-01-01 07:00:00,0.34,69.32,63.12,7,False,MEDIUM
SITE-003,2026-01-01 07:00:00,0.36,68.13,58.39,7,False,MEDIUM
SITE-001,2026-01-01 08:00:00,2.84,69.57,58.33,8,False,MEDIUM
SITE-002,2026-01-01 08:00:00,3.28,64.27,58.21,8,False,LOW
SITE-003,2026-01-01 08:00:00,1.19,67.25,66.79,8,False,MEDIUM
SITE-001,2026-01-01 09:00:00,-0.33,70.33,66.37,9,False,HIGH
SITE-002,2026-01-01 09:00:00,1.77,68.99,60.16,9,False,MEDIUM
SITE-003,2026-01-01 09:00:00,2.01,64.62,65.23,9,False,MEDIUM
SITE-001,2026-01-01 10:00:00,3.53,66.35,52.39,10,False,LOW
SITE-002,2026-01-01 10:00:00,4.48,67.4,55.85,10,False,LOW
SITE-003,2026-01-01 10:00:00,5.05,62.37,49.7,10,False,LOW
SITE-001,2026-01-01 11:00:00,6.07,65.22,46.56,11,False,LOW
SITE-002,2026-01-01 11:00:00,5.82,62.84,56.54,11,False,LOW
SITE-003,2026-01-01 11:00:00,2.48,64.58,59.81,11,False,LOW
SITE-001,2026-01-01 12:00:00,3.45,63.74,58.77,12,False,LOW
SITE-002,2026-01-01 12:00:00,4.49,66.13,59.11,12,False,LOW
SITE-003,2026-01-01 12:00:00,2.84,65.32,60.29,12,False,LOW
SITE-001,2026-01-01 13:00:00,3.17,66.48,62.47,13,False,MEDIUM
SITE-002,2026-01-01 13:00:00,5.54,63.45,56.58,13,False,LOW
SITE-003,2026-01-01 13:00:00,4.3,63.4,54.94,13,False,LOW
SITE-001,2026-01-01 14:00:00,3.62,67.74,59.29,14,False,LOW
SITE-002,2026-01-01 14:00:00,1.4,67.08,61.96,14,False,LOW
SITE-003,2026-01-01 14:00:00,4.52,61.54,58.2,14,False,LOW
SITE-001,2026-01-01 15:00:00,2.38,67.74,53.26,15,False,MEDIUM
SITE-002,2026-01-01 15:00:00,1.72,67.18,62.34,15,False,LOW
SITE-003,2026-01-01 15:00:00,3.09,63.25,62.11,15,False,LOW
SITE-001,2026-01-01 16:00:00,1.49,65.06,69.67,16,False,MEDIUM
SITE-002,2026-01-01 16:00:00,1.12,69.84,60.8,16,False,MEDIUM
SITE-003,2026-01-01 16:00:00,4.18,63.86,54.54,16,False,LOW
SITE-001,2026-01-01 17:00:00,-0.65,69.36,64.29,17,False,HIGH
SITE-002,2026-01-01 17:00:00,-2.35,69.86,74.77,17,False,HIGH
SITE-003,2026-01-01 17:00:00,-1.03,72.77,65.82,17,False,MEDIUM
SITE-001,2026-01-01 18:00:00,-3.02,72.63,65.65,18,False,HIGH
SITE-002,2026-01-01 18:00:00,0.32,65.31,61.46,18,False,MEDIUM
SITE-003,2026-01-01 18:00:00,0.26,63.93,64.45,18,False,MEDIUM
SITE-001,2026-01-01 19:00:00,-0.96,70.91,73.04,19,False,HIGH
SITE-002,2026-01-01 19:00:00,-4.13,71.78,66.23,19,False,HIGH
SITE-003,2026-01-01 19:00:00,-1.94,67.12,64.19,19,False,MEDIUM
SITE-001,2026-01-01 20:00:00,-5.34,70.54,74.12,20,False,HIGH
SITE-002,2026-01-01 20:00:00,-3.41,71.18,74.54,20,False,HIGH
SITE-003,2026-01-01 20:00:00,-4.43,70.07,67.11,20,False,HIGH
SITE-001,2026-01-01 21:00:00,-3.88,77.69,71.16,21,False,HIGH
SITE-002,2026-01-01 21:00:00,-4.33,71.56,71.16,21,False,HIGH
SITE-003,2026-01-01 21:00:00,-3.27,69.44,62.63,21,False,HIGH
SITE-001,2026-01-01 22:00:00,-4.99,70.31,65.6,22,False,HIGH
SITE-002,2026-01-01 22:00:00,-6.02,73.93,72.22,22,False,HIGH
SITE-003,2026-01-01 22:00:00,-7.4,74.26,66.75,22,False,HIGH
SITE-001,2026-01-01 23:00:00,-5.28,73.66,74.6,23,False,HIGH
SITE-002,2026-01-01 23:00:00,-6.63,73.19,70.97,23,False,HIGH
SITE-003,2026-01-01 23:00:00,-9.07,75.63,78.13,23,False,HIGH
SITE-001,2026-01-02 00:00:00,-7.5,78.52,76.48,0,False,HIGH
SITE-002,2026-01-02 00:00:00,-7.25,74.42,72.23,0,False,HIGH
SITE-003,2026-01-02 00:00:00,-6.79,75.98,74.11,0,False,HIGH
SITE-001,2026-01-02 01:00:00,-5.2,74.88,68.46,1,False,HIGH
SITE-002,2026-01-02 01:00:00,-6.06,72.31,74.38,1,False,HIGH
SITE-003,2026-01-02 01:00:00,-5.76,73.11,64.6,1,False,HIGH
SITE-001,2026-01-02 02:00:00,-5.87,75.07,74.26,2,False,HIGH
SITE-002,2026-01-02 02:00:00,-7.26,76.49,77.71,2,False,HIGH
SITE-003,2026-01-02 02:00:00,-3.71,71.59,60.71,2,False,MEDIUM
SITE-001,2026-01-02 03:00:00,-3.05,70.23,68.89,3,False,HIGH
SITE-002,2026-01-02 03:00:00,-4.21,72.23,62.17,3,False,MEDIUM
SITE-003,2026-01-02 03:00:00,-4.85,73.53,68.9,3,False,MEDIUM
SITE-001,2026-01-02 04:00:00,-3.45,71.06,75.78,4,False,HIGH
SITE-002,2026-01-02 04:00:00,-3.59,72.2,65.98,4,False,HIGH
SITE-003,2026-01-02 04:00:00,-4.96,72.75,77.99,4,False,HIGH
SITE-001,2026-01-02 05:00:00,-3.25,73.97,65.07,5,False,HIGH
SITE-002,2026-01-02 05:00:00,-1.94,70.67,65.36,5,False,MEDIUM
SITE-003,2026-01-02 05:00:00,-1.57,69.76,64.78,5,False,MEDIUM
SITE-001,2026-01-02 06:00:00,-1.19,68.86,61.46,6,False,HIGH
SITE-002,2026-01-02 06:00:00,-2.23,69.94,70.03,6,False,HIGH
SITE-003,2026-01-02 06:00:00,1.69,63.26,60.4,6,False,MEDIUM
SITE-001,2026-01-02 07:00:00,0.3,68.56,56.57,7,False,HIGH
SITE-002,2026-01-02 07:00:00,-0.16,67.01,60.19,7,False,HIGH
SITE-003,2026-01-02 07:00:00,0.2,66.36,59.37,7,False,MEDIUM
SITE-001,2026-01-02 08:00:00,0.91,69.47,63.47,8,False,HIGH
SITE-002,2026-01-02 08:00:00,3.41,66.63,55.34,8,False,LOW
SITE-003,2026-01-02 08:00:00,1.25,67.2,65.78,8,False,MEDIUM
SITE-001,2026-01-02 09:00:00,1.45,66.95,62.92,9,False,MEDIUM
SITE-002,2026-01-02 09:00:00,2.11,62.92,60.62,9,False,MEDIUM
SITE-003,2026-01-02 09:00:00,3.09,65.87,55.71,9,False,MEDIUM
SITE-001,2026-01-02 10:00:00,3.05,67.5,55.45,10,False,LOW
SITE-002,2026-01-02 10:00:00,3.37,65.07,55.08,10,False,LOW
SITE-003,2026-01-02 10:00:00,3.82,64.01,61.43,10,False,LOW
SITE-001,2026-01-02 11:00:00,2.88,67.4,61.27,11,False,MEDIUM
SITE-002,2026-01-02 11:00:00,3.44,64.82,57.6,11,False,LOW
SITE-003,2026-01-02 11:00:00,4.35,64.42,49.18,11,False,LOW
SITE-001,2026-01-02 12:00:00,5.9,63.41,62.56,12,False,LOW
SITE-002,2026-01-02 12:00:00,4.55,61.31,63.49,12,False,LOW
SITE-003,2026-01-02 12:00:00,2.78,61.57,48.23,12,False,LOW
SITE-001,2026-01-02 13:00:00,5.65,63.77,50.49,13,False,LOW
SITE-002,2026-01-02 13:00:00,5.1,65.39,50.43,13,False,LOW
SITE-003,2026-01-02 13:00:00,3.45,64.03,57.97,13,False,LOW
SITE-001,2026-01-02 14:00:00,3.98,64.78,51.8,14,False,LOW
SITE-002,2026-01-02 14:00:00,4.7,63.59,57.01,14,False,LOW
SITE-003,2026-01-02 14:00:00,3.2,64.49,57.34,14,False,LOW
SITE-001,2026-01-02 15:00:00,2.86,65.06,57.03,15,False,MEDIUM
SITE-002,2026-01-02 15:00:00,2.27,63.11,60.74,15,False,LOW
SITE-003,2026-01-02 15:00:00,1.38,67.45,57.69,15,False,LOW
SITE-001,2026-01-02 16:00:00,1.75,66.12,60.49,16,False,MEDIUM
SITE-002,2026-01-02 16:00:00,3.65,62.54,49.28,16,False,LOW
SITE-003,2026-01-02 16:00:00,0.29,67.04,60.99,16,False,MEDIUM
SITE-001,2026-01-02 17:00:00,0.27,67.79,62.95,17,False,HIGH
SITE-002,2026-01-02 17:00:00,-0.06,67.28,64.45,17,False,MEDIUM
SITE-003,2026-01-02 17:00:00,0.34,65.28,61.81,17,False,MEDIUM
SITE-001,2026-01-02 18:00:00,0.83,69.55,62.65,18,False,HIGH
SITE-002,2026-01-02 18:00:00,0.24,68.1,63.82,18,False,HIGH
SITE-003,2026-01-02 18:00:00,-0.79,67.84,60.36,18,False,MEDIUM
SITE-001,2026-01-02 19:00:00,-2.29,73.11,68.31,19,False,HIGH
SITE-002,2026-01-02 19:00:00,-1.16,67.51,64.86,19,False,MEDIUM
SITE-003,2026-01-02 19:00:00,-3.44,71.15,63.04,19,False,HIGH
SITE-001,2026-01-02 20:00:00,-2.91,73.38,67.94,20,False,HIGH
SITE-002,2026-01-02 20:00:00,-4.36,71.13,68.89,20,False,HIGH
SITE-003,2026-01-02 20:00:00,-2.78,69.59,72.2,20,False,HIGH
SITE-001,2026-01-02 21:00:00,-3.41,72.53,59.07,21,False,HIGH
SITE-002,2026-01-02 21:00:00,-5.4,74.32,77.2,21,False,HIGH
SITE-003,2026-01-02 21:00:00,-4.82,70.67,69.16,21,False,HIGH
SITE-001,2026-01-02 22:00:00,-3.92,73.92,73.38,22,False,HIGH
